title,price,rating,reviews,availability,brand,category,off,bought
"OnePlus Nord CE4 (Dark Chrome, 8GB RAM, 256GB Storage)","24,997.00",4.2 out of 5 stars,"7,979 ratings",In stock,OnePlus,SmartPhone,-7%,5K+ bought in past month
"OnePlus 13R | Smarter AI (16GB RAM, 512GB Storage Nebula Noir)","47,998.00",4.3 out of 5 stars,970 ratings,In stock,OnePlus,SmartPhone,-8%,1K+ bought in past month
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 64GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging","8,499.00",4.0 out of 5 stars,"2,220 ratings",In stock,Redmi,SmartPhone,-23%,5K+ bought in past month
"Samsung Galaxy M35 5G (Thunder Grey,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger","16,998.00",4.1 out of 5 stars,"8,097 ratings",In stock,Samsung,SmartPhone,-31%,5K+ bought in past month
"Redmi 13 5G, Hawaiian Blue, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","13,899.00",4.0 out of 5 stars,"3,614 ratings",Only 1 left in stock.,Redmi,SmartPhone,-31%,1K+ bought in past month
"Samsung Galaxy A26 5G (Awesome Mint, 8GB, 128GB) | Awesome Intelligence - AI Smartphone: Circle to Search, My Filter, Object Eraser | 50MP Triple Camera | IP67","24,999.00",4.0 out of 5 stars,2 ratings,In stock,Samsung,SmartPhone,-11%,Not Available
"iPhone 16 Pro 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; White Titanium","1,22,900.00",4.3 out of 5 stars,185 ratings,In stock,Apple,SmartPhone,-5%,100+ bought in past month
Apple iPhone 15 (128 GB) - Pink,"61,400.00",4.5 out of 5 stars,"3,253 ratings",In stock,Apple,SmartPhone,-12%,5K+ bought in past month
"Samsung Galaxy S24 FE 5G AI Smartphone (Graphite, 8GB RAM, 128GB Storage)","41,699.00",4.1 out of 5 stars,33 ratings,In stock,Samsung,SmartPhone,-31%,1K+ bought in past month
"realme NARZO N61 (Marble Black,6GB RAM+128GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box","8,499.00",4.0 out of 5 stars,"2,479 ratings",In stock,realme,SmartPhone,-23%,1K+ bought in past month
"iQOO Z9 Lite 5G (Aqua Flow, 6GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box","11,498.00",4.1 out of 5 stars,"3,987 ratings",In stock,iQOO,SmartPhone,-26%,5K+ bought in past month
"OnePlus Nord 4 5G (Mercurial Silver, 8GB RAM, 256GB Storage)","29,998.00",4.2 out of 5 stars,"3,052 ratings",In stock,OnePlus,SmartPhone,-9%,2K+ bought in past month
"OPPO F27 Pro+ 5G (Midnight Navy, 8GB RAM, 256GB Storage) | 6.7"" FHD+ AMOLED Toughest 3D Curved Display|64MP AI Featured Camera|IP69 | 67W SUPERVOOC| with No Cost EMI/Additional Exchange Offers","27,999.00",4.0 out of 5 stars,609 ratings,In stock,Oppo,SmartPhone,-20%,200+ bought in past month
